review_title,review_text,rating,review_date,reviewer_name,product_id,product_name,WSID,Store name
Perfect,It was recognized and is now working perfectly. I hope it lasts.,5,2026-01-05T19:06:53.028Z,Thanasis Mitsolides,6853,Compatible Brother TN750 Black High Yield Laser Toner Cartridge,1gm0fkmh7pht84,swiftink
Always work in my picky Epson,"Excellent company to work with, best customer service, best pricing, reliable. ",5,2025-12-31T14:58:52.663Z,w. sharon prator,6230,Remanufactured Epson 202XL 5-Set Ink Cartridges: 2 Black and 1 each of Cyan / Magenta / Yellow,1gm0fkmh7pht85,swiftink
ALWAYS CONSISTENTLY GOOD,I've bought from Swift for years and have saved much money👍,5,2025-12-30T01:43:43.153Z,Mike Somers,6362,Remanufactured Epson T410XL420 410XL High Yield Yellow Ink Cartridge,1gm0fkmh7pht86,swiftink
Swift Ink is the best remanufactured ink on the market.,The XL cartridge lasts a very long time.,5,2025-12-30T01:05:01.662Z,Jeffrey Elkins,117352,Remanufactured Ink for HP 67XL Tri-Color (3YM58AN) High Yield Cartridge,1gm0fkmh7pht87,swiftink
Great value,I been using swift ink for several years and I could describe this supplier for my Hp 58X great value and saving money and good quality ( I got three years supplies in price of one year ) imagine how much you save !!!!!,5,2025-12-30T00:45:53.738Z,Elhami Dahhan,120958,"Compatible HP CF258X (HP 58X) High Yield Black Toner Cartridge (10,000 Page Yield) (With Chip)",1gm0fkmh7pht88,swiftink
Excellent customer service,"I ordered a set of 'inks' for my HP printer. One of the new cartridges did not work - HP alarm 'not authentic HP product'.
I called Swift Ink - they explained HP had changed my printer to not accept generic cartridges.  Swift Ink sent new cartridges at no charge.  Very impressive!!",5,2025-12-29T16:42:21.168Z,Daniel Leonardson,3317,Compatible Replacement 4-Set High Yield Ink Cartridges for HP 962XL: 1 each of Black / Cyan / Magenta / Yellow,1gm0fkmh7pht89,swiftink
,,5,2025-12-29T16:40:21.956Z,Larry Demers,157504,Compatible Brother LC401XL 4-Set Ink Cartridges: 1 each of Black / Cyan / Magenta / Yellow,1gm0fkmh7pht90,swiftink
Swift Ink 962 XL cartridge,The ink cartridge came in quickly.  The product was well protected.  The cost was reasonable compared to the other ink sellers.  The ink cartridge worked from the start with my printer and did not smear or cause any cartridge errors.  I would recommend Swift Ink as a very good printer ink sellers.,5,2025-12-28T21:18:18.669Z,Richard Lucyk,3315,Compatible Replacement High Yield Black Ink Cartridge for 3JA03AN / HP 962XL,1gm0fkmh7pht91,swiftink
,"So far the cartridge is working fine. I've only used one so far but it all seems to be going well. 
",5,2025-12-28T00:50:01.758Z,Loyal E May,4631,"Compatible 4-Set HP 202X High Yield Laser Toner Cartridges (Black, Cyan, Magenta, Yellow)",1gm0fkmh7pht92,swiftink
Not yet used,I am hopeful that your ink works out. I have tried so many others that were complete failures. My magenta ink is very low so I’m waiting for it to need replacement. If it works I will use your product. If not I will replace my printer.  ,4,2025-12-27T20:40:06.293Z,Bruno Anthony,5151,Compatible Replacement High Yield Magenta Ink Cartridge for L0S64AN / HP 952XL,1gm0fkmh7pht93,swiftink
,,5,2025-12-24T21:33:25.134Z,DAVID TREBILCOCK,157488,Compatible Brother LC406XL 4-Set Ink Cartridges: 1 each of Black / Cyan / Magenta / Yellow,1gm0fkmh7pht94,swiftink
Very satisfyied!!,They worked GREAT!!,5,2025-12-24T19:35:29.030Z,Susan Lancelotta,191289,Set of 3: HP 96 & 97 Remanufactured Ink Cartridges - 2 Black & 1 Color,1gm0fkmh7pht95,swiftink
Always great,We are consistently impressed with how quickly our orders are fulfilled and shipped. Quality of product is great. Customer service is excellent. Thank you guys!,5,2025-12-23T20:41:59.862Z,Michael Felice,6867,Compatible Brother TN880 Toner Black Super High Yield,1gm0fkmh7pht96,swiftink
CANON  TR 8520 ,LOOKS GOOD SO FAR FOR MY PRINTER ,4,2025-12-23T19:16:21.852Z,LOU VALENTI,3031,Compatible Canon 280XXL (1967C001) Black Super High Yield Ink Cartridge,1gm0fkmh7pht97,swiftink
Great customer service ,While I haven't had chance to use products your customer service was excellent. ,5,2025-12-23T18:15:05.018Z,Ken Raff,4089,Remanufactured Replacement Set of 5 - 3 Black & 2 Color Ink Cartridges for HP 92 and HP 93,1gm0fkmh7pht98,swiftink
