review_title,review_text,rating,review_date,reviewer_name,product_id,product_name,WSID,Store name
Quality product. ,I think this is a great company. I’ve been purchasing NDT for about 7 or so years now. I think it is a quality product. ,5,2025-12-30T18:22:10.003Z,Lisa,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
Excellent!,"Finally a supplement with only grass fed/finished Beef Testicles and nothing else! Super pleased to incorporate these into my diet! Very grateful for LGS, great team, support and fast shipping! Thanks again!",5,2025-12-27T16:26:28.919Z,Stephen,10230,Grass Fed Beef Bull Testicle Supplement - Orchidic,1eqwkmhcf9qec,lifegivingstore
The Best Grass Fed Beef Thyroid!,I have taken this beef thyroid for awhile & it has really helped me feel better. Diagnosed with Hashimoto's & prescription drugs do not work for me. But this beef thyroid is absolutely great! Thanks for this product!!,5,2025-12-22T18:29:13.551Z,Brenda L Payton,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
Natural Thyroid that works,"My wife has taken armor thyroid for years and it seems to have gotten lower in quality over the years.  I purchased the natural dedicated thyroid from your store a couple of months ago and asked her to try it and she said she had more energy after taking it than she had in months. 
Thank you for carrying quality products",5,2025-12-22T14:06:56.759Z,Jeff Hudson,16524,Grass Fed Gallbladder &amp; Ox Bile,1eqwkmhcf9qec,lifegivingstore
,,5,2025-12-20T23:47:32.836Z,Candis Francis,60191,MASA Original White 5 oz chips,1eqwkmhcf9qec,lifegivingstore
Magnesium Chloride Liquid ,I haven't opened it yet but it came on time and packaged nicely. I always bought the powder so hopefully this will fall into my routine easily. Thank you! ,5,2025-12-20T16:16:18.878Z,Claudine Hendrix,57111,Magnesium Chloride Liquid,1eqwkmhcf9qec,lifegivingstore
Lactoferrin,The package was delivered on time and in super condition. You take a lot less than I thought but I'm all about starting new supplements slowly. I'm hoping to experience positive results. Thank you! ,5,2025-12-20T16:13:45.913Z,Claudine Hendrix,25216,Grass-Fed Lactoferrin,1eqwkmhcf9qec,lifegivingstore
Increased endurance. ,Increased endurance. ,5,2025-12-19T13:24:16.062Z,Timothy Fletcher,10230,Grass Fed Beef Bull Testicle Supplement - Orchidic,1eqwkmhcf9qec,lifegivingstore
Good stuff,High support this brand,5,2025-12-13T01:14:33.171Z,Jahaziel Alvarez,25216,Grass-Fed Lactoferrin,1eqwkmhcf9qec,lifegivingstore
It works. .. .,"Energy, strength, and labido increased. ",5,2025-12-12T13:16:11.468Z,Timothy,10230,Grass Fed Beef Bull Testicle Supplement - Orchidic,1eqwkmhcf9qec,lifegivingstore
Fast Shipping!,"This was my first order with lifegivingstore. com and the product I ordered shipped immediately. It may have been the same day! This will not be my last order, as I plan to try the Lactoferrin next. Amazing service.",5,2025-12-06T23:23:54.379Z,Kim,31544,Selenium Liquid,1eqwkmhcf9qec,lifegivingstore
This works very well!,This has really helped me. It works better than other supplements that I have tried.,5,2025-12-05T14:25:34.381Z,Stacey,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
The absolute best. ,"I absolutely love this company. I personally use the desiccated thyroid and swear by it with some of my functional medicine patients. 

The life giving store is legit and I would recommend it to anyone looking for a quality company with a great mission as well as great products. ",5,2025-12-03T17:55:47.577Z,David McIntosh,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
great products,Always buy my Nano Soma from them great price and product,5,2025-11-29T19:01:15.897Z,Marie Doyle,,,1eqwkmhcf9qec,lifegivingstore
Great,So great to find a product with no added ingredients to support immune system. Thank you!,5,2025-11-27T17:01:31.723Z,PLE,,,1eqwkmhcf9qec,lifegivingstore
This works very well! ,This works better than other Thyroid supplements I have used. I have no thyroid and this works really well for me! ,5,2025-11-24T17:21:32.527Z,Stacey Lawton,,,1eqwkmhcf9qec,lifegivingstore
Much better!,"I experienced pain in the joints of my hands only when using my iPhone 13. I was concerned and purchased the ICell Chip. After taping it to the back of the phone and purchasing a case that would fit, I found immediate relief. My only negative comment would be trying to find a case that works with this product.",5,2025-03-20T21:43:48.000Z,Beth Haywood,43450,iCell Chip,1eqwkmhcf9qec,lifegivingstore
Slick stuff,"Nice looking product.  Dissolves quickly.  Clean taste, non grainy. Gentle.  No sudden or unusual bowel response.",5,2025-02-26T04:24:15.000Z,Lawrence Wingertsahn,36142,Sunfiber,1eqwkmhcf9qec,lifegivingstore
Love this stuff,It has helped me so much with chronic constipation issues and is not too harsh. I had to work my way up on the amount but I take it nightly and it’s worked miracles. Thank you!,5,2025-02-13T02:10:04.000Z,Leslie Churchill,10123,Cascara Sagrada,1eqwkmhcf9qec,lifegivingstore
Amazing!,"I’ve tried several thyroid products, but this one is by far my favorite! Excellent quality, great packaging, and an unbeatable price!",5,2025-02-09T12:10:02.000Z,Dawid Łazinka,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,5,2025-02-07T10:38:28.000Z,Stacey Eichenberger,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
Stunning!,"Very high quality product, helps me with bowel movements and detoxification! Easily 5 out of 5 stars!",5,2025-02-03T13:23:29.000Z,Dawid Łazinka,10123,Cascara Sagrada,1eqwkmhcf9qec,lifegivingstore
,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,5,2025-01-29T03:39:34.000Z,Lori Lazarus,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
Feels better,"My husband has diabetes, cancer and gets blood clots in his body because of a clotting factor In  His blood. He takes many supplements one which was zinc in a pill form. Since taking the powdered version after weeks of taking everyday he feels much better. Swelling in his legs has gone down his feet don’t tingle anymore and he says they feel almost normal. He also takes the B6 and B1 powder among his other supplements. I m always adding and subtracting supplements depending on how he feels and so far this combination works well.",5,2025-01-27T03:18:21.000Z,MJ,36094,Zinc Picolinate Powder,1eqwkmhcf9qec,lifegivingstore
Awesome Addition,Cured my GERD and bloating,5,2025-01-08T02:42:53.000Z,Jonathan Rodriguez,25216,grass fed lactoferrin,1eqwkmhcf9qec,lifegivingstore
Get your poop out with Sunfiber,Get your poop out with Sunfiber,5,2025-01-07T01:40:33.000Z,WantNoSugar,36142,Sunfiber,1eqwkmhcf9qec,lifegivingstore
Lifesaver,Awesome to have this NDT back in our diet as the nutrient food it always was,5,2024-12-26T14:44:54.000Z,Chris,10210,Grass Fed Beef Thyroid - Natural Desiccated Thyroid Supplement - NDT,1eqwkmhcf9qec,lifegivingstore
Worked very quickly on one spot,"I have something to other that jeeps coming back on top of my nose. I wanted to get it biopsied but after I put on the gel it went away in about 3 days and hasn't come back.
I tried using it all over my face for various marks and redness from rosacea but haven't noticed an improvement.
It is worth it though if you have a serious growth that you are concerned about",5,2024-12-26T00:49:01.000Z,Steven Golden,20402,Metasomer Topical Gel {Nano Soma Topical Gel},1eqwkmhcf9qec,lifegivingstore
👍,Extremely pleased with the product,5,2024-12-18T17:10:43.000Z,Kevin Sullivan,36094,Zinc Picolinate Powder,1eqwkmhcf9qec,lifegivingstore
Love this product,Grateful for this,5,2024-12-13T02:36:43.000Z,Les,10250,grass fed beef brain,1eqwkmhcf9qec,lifegivingstore
Allows water to easily drain off of soap,I like these soap holders. These allow the water to easily drain off a bar of soap and thus the soap lasts longer.,5,2024-11-21T02:32:50.000Z,Susan Barr,10340,Natural Wood Soap Holder,1eqwkmhcf9qec,lifegivingstore
Beneficial Effects,"Since using the PL11 I have noticed better skin and better circulation overall, will continue to use every other day for 10 minutes.",5,2024-11-14T16:27:03.000Z,Mary Jo M.,10362,"PL11: Orange, Red &amp; Infrared 620nm - 670nm - 760nm - 830nm",1eqwkmhcf9qec,lifegivingstore
Great quality,Undenatured and not from whey like most other lactoferrin. Top quality,5,2024-11-10T00:47:46.000Z,Jeremie Keable-Cote,25216,grass fed lactoferrin,1eqwkmhcf9qec,lifegivingstore
Worth the Purchase,"Subtle energy regulation can be difficult to prove or quantify. However, I know without doubt that EMF's affect the human/animal organism in mostly negative ways, and since carrying these cards in my pocket, I do feel calmer when away from home. I would say, the investment is worth it, especially if you are a person, like me, who does not like wearing wrist bands, pendants, etc.",5,2024-11-07T18:50:23.000Z,Mary Jo M.,43468,Personal Card,1eqwkmhcf9qec,lifegivingstore
Comfort in USP,"I purchased this activated charcoal along with other items, and I am pleased with everything. I am really pleased to be able to purchase pharmaceutical-grade charcoal powder, the best. I use a tablespoon of this internally, once weekly, which is very helpful.",5,2024-10-31T17:45:47.000Z,Mary Jo M.,49496,"Activated Charcoal Powder ""Super Detox"" USP Grade",1eqwkmhcf9qec,lifegivingstore
Hard water,Hi!  I live in a very harsh and hard water environment my scalp gets irritated but this shampoo and body bar heals it.  Thanks excellent product sorry for taking all of the inventory when I buy but it's so good!,5,2024-10-29T01:03:42.000Z,Otto,10282,shampoo and body bar basic,1eqwkmhcf9qec,lifegivingstore
obsessed,love the way this makes me feel,5,2024-10-28T01:42:50.000Z,Les,10246,Grass Fed Beef Heart,1eqwkmhcf9qec,lifegivingstore
Great product,"I am giving it to my dog for heart support, to see if it helps his little ticker. So far great progress from what I can noticed, he seems to be more energetic. Thanks",5,2024-10-26T20:07:37.000Z,Haris Alukic,10246,Grass Fed Beef Heart,1eqwkmhcf9qec,lifegivingstore
No Results,"I was excited to try this after reading the glowing reviews, but I found no improvement in the different ways I used it. However, this is a great company that offers cutting edge supplements and I will continue to purchase items from them. Shipping is fast and always packaged safely.",4,2024-10-23T11:55:47.000Z,MARK BARNIER,20402,Metasomer Topical Gel {Nano Soma Topical Gel},1eqwkmhcf9qec,lifegivingstore
Really helps with allergies,I’m astonished by how this gets rid of my allergies.,5,2024-10-17T16:41:24.000Z,Les,10256,Grass Fed Lamb Thymus,1eqwkmhcf9qec,lifegivingstore
Works Great,Thanks Life Giving Store.,5,2024-10-13T17:38:06.000Z,Chris Nimmo,34886,MEN: Male Enhancement Naturally - Grass Fed Beef Organs &amp; Glandular,1eqwkmhcf9qec,lifegivingstore
